ano,sigla_uf,rede,diretoria,id_municipio,id_escola,id_escola_sp,codigo_tipo_escola,prop_aprovados_anos_inciais_ef,prop_reprovados_anos_iniciais_ef,prop_abandono_anos_iniciais_ef,prop_aprovados_anos_finais_ef,prop_reprovados_anos_finais_ef,prop_abandono_anos_finais_ef,prop_aprovados_em,prop_reprovados_em,prop_abandono_em
2012,SP,,SUL 1,3550308.0,35005095,5095,,94.85,0.12,5.02,92.09,6.58,1.34,78.78,,5.66
2012,SP,,,3515004.0,35038600,38600,,99.39,0.3,0.3,92.41,5.24,2.36,84.85,11.52,
2012,SP,,LESTE 2,3550308.0,35002859,2859,,97.8,2.04,0.16,81.52,18.07,0.41,57.05,29.93,13.02
2012,SP,,LESTE 2,3550308.0,35046224,46224,,89.68,4.5,5.82,89.41,6.92,3.67,58.75,27.5,13.75
2012,SP,,,3516408.0,35005654,5654,,97.2,2.4,0.4,95.67,1.92,2.4,94.04,0.66,5.3
2012,SP,,MAUA,3544103.0,35007936,7936,,97.69,1.85,0.46,75.76,15.7,8.54,61.92,22.85,15.23
2012,SP,,LESTE 2,3550308.0,35037357,37357,,94.43,4.12,1.44,86.8,9.82,3.37,71.03,15.08,
2012,SP,,CENTRO OESTE,3550308.0,35908400,908400,,96.73,1.22,2.04,93.33,5.0,1.67,82.3,13.87,3.83
2012,SP,,SUL 2,3550308.0,35121484,121484,,93.01,2.1,4.9,71.18,13.3,15.52,,18.97,23.71
2012,SP,,LESTE 2,3550308.0,35043734,43734,,98.24,0.75,1.01,94.28,4.63,1.09,78.91,20.63,0.45
2012,SP,,SAO VICENTE,3551009.0,35923485,923485,,96.78,2.95,0.27,93.54,5.98,0.48,,10.53,5.92
2012,SP,,SUL 1,3550308.0,35902500,902500,,97.36,2.48,0.16,94.44,4.48,1.08,79.15,12.05,8.79
2012,SP,,ITAQUAQUECETUBA,3523107.0,35904430,904430,,96.89,2.87,0.24,86.25,9.6,4.14,60.62,18.41,20.96
2012,SP,,LESTE 3,3550308.0,35003268,3268,,97.78,1.33,0.89,96.39,0.48,3.13,68.0,6.0,26.0
2012,SP,,LESTE 3,3550308.0,35923916,923916,,91.95,2.73,5.32,80.09,7.23,12.68,63.88,,24.34
2012,SP,,CAIEIRAS,3516408.0,35269396,269396,,98.31,1.27,0.42,93.91,2.77,3.32,88.78,5.1,6.12
2012,SP,,SUMARE,3552403.0,35042572,42572,,93.4,6.09,0.51,94.52,3.42,2.05,94.91,4.4,0.69
2012,SP,,SOROCABA,3552205.0,35900357,900357,,98.33,0.95,0.71,84.58,8.74,6.68,68.15,10.83,21.02
2012,SP,,CAMPINAS OESTE,3509502.0,35040859,40859,,91.88,7.61,0.51,94.74,2.02,3.24,78.71,3.87,17.42
2012,SP,,,3509502.0,35907397,907397,,96.15,2.52,1.32,94.52,1.86,3.61,80.93,8.6,10.47
2012,SP,,SANTO ANDRE,3547809.0,35008473,8473,,93.94,5.56,0.51,91.61,6.46,1.93,77.56,15.09,7.35
2012,SP,,LESTE 1,3550308.0,35036766,36766,,87.69,3.08,9.23,87.76,6.38,5.86,65.73,17.47,16.8
2012,SP,,LESTE 3,3550308.0,35908368,908368,,92.78,3.61,3.61,89.81,4.8,5.4,66.54,14.17,
2012,SP,,CENTRO SUL,3550308.0,35004418,4418,,91.03,5.38,3.59,76.62,8.9,14.48,,,21.03
2012,SP,,CAMPINAS LESTE,3509502.0,35018533,18533,,91.29,7.3,1.4,74.57,21.77,3.66,45.67,50.39,3.94
2012,SP,,CAMPINAS OESTE,3509502.0,35047156,47156,,95.01,4.49,0.5,88.27,6.54,5.19,75.11,,13.08
2012,SP,,CAMPINAS OESTE,3509502.0,35924933,924933,,97.17,2.02,0.81,82.51,9.51,7.98,75.23,6.81,17.96
2012,SP,,RIBEIRAO PRETO,3543402.0,35049612,49612,,92.51,5.57,1.93,83.71,9.09,7.2,64.48,20.08,15.44
2012,SP,,CAMPINAS OESTE,3509502.0,35039895,39895,,96.38,3.38,0.24,96.1,2.92,0.97,86.42,,7.95
2012,SP,,SOROCABA,3552205.0,35042419,42419,,96.53,2.97,0.5,89.71,4.86,5.43,84.57,5.32,10.11
2012,SP,,NORTE 1,3550308.0,35044261,44261,,89.04,7.31,3.65,89.94,8.12,1.95,71.85,22.27,5.88
2012,SP,,LESTE 1,3550308.0,35040988,40988,,93.06,2.84,4.1,88.99,5.65,5.36,64.82,18.58,16.59
